Manual	Chip	FamilyUsersGuide	VccPgmMin	VccPgmMax	fFtgMin	fFtgMax	tWord	tCMErase	tBlock0	tBlockI	tBlockN	tMassErase	tSegErase	fTck2_2V	fTck3V	fSbw	fSbwEn	fSbwRet
SLASE23E	MSP430FR69221	SLAU367												16	16	10	110	15
SLASE23E	MSP430FR6970	SLAU367												16	16	10	110	15
SLASE23E	MSP430FR6972	SLAU367												16	16	10	110	15
SLASE23E	MSP430FR69721	SLAU367												16	16	10	110	15
SLASE32C	MSP430FR5887	SLAU367												16	16	10	110	15
SLASE32C	MSP430FR5888	SLAU367												16	16	10	110	15
SLASE32C	MSP430FR5889	SLAU367												16	16	10	110	15
SLASE32C	MSP430FR58891	SLAU367												16	16	10	110	15
SLASE32C	MSP430FR6887	SLAU367												16	16	10	110	15
SLASE32C	MSP430FR6888	SLAU367												16	16	10	110	15
SLASE32C	MSP430FR6889	SLAU367												16	16	10	110	15
SLASE32C	MSP430FR68891	SLAU367												16	16	10	110	15
SLASE33C	MSP430FR6877	SLAU367												16	16	10	110	15
SLASE33C	MSP430FR6879	SLAU367												16	16	10	110	15
SLASE33C	MSP430FR68791	SLAU367												16	16	10	110	15
SLASE34E	MSP430FR5847	SLAU367												16	16	10	110	15
SLASE34E	MSP430FR58471	SLAU367												16	16	10	110	15
SLASE34E	MSP430FR5848	SLAU367												16	16	10	110	15
SLASE34E	MSP430FR5849	SLAU367												16	16	10	110	15
SLASE34E	MSP430FR5857	SLAU367												16	16	10	110	15
SLASE34E	MSP430FR5858	SLAU367												16	16	10	110	15
SLASE34E	MSP430FR5859	SLAU367												16	16	10	110	15
SLASE34E	MSP430FR5867	SLAU367												16	16	10	110	15
SLASE34E	MSP430FR58671	SLAU367												16	16	10	110	15
SLASE34E	MSP430FR5868	SLAU367												16	16	10	110	15
SLASE34E	MSP430FR5869	SLAU367												16	16	10	110	15
SLASE35C	MSP430FR5720	SLAU272												5	10	20	1	19
SLASE35C	MSP430FR5721	SLAU272												5	10	20	1	19
SLASE35C	MSP430FR5722	SLAU272												5	10	20	1	19
SLASE35C	MSP430FR5723	SLAU272												5	10	20	1	19
SLASE35C	MSP430FR5724	SLAU272												5	10	20	1	19
SLASE35C	MSP430FR5725	SLAU272												5	10	20	1	19
SLASE35C	MSP430FR5726	SLAU272												5	10	20	1	19
SLASE35C	MSP430FR5727	SLAU272												5	10	20	1	19
SLASE35C	MSP430FR5728	SLAU272												5	10	20	1	19
SLASE35C	MSP430FR5729	SLAU272												5	10	20	1	19
SLASE54D	MSP430FR5962	SLAU367												16	16	10	110	15
SLASE54D	MSP430FR5964	SLAU367												16	16	10	110	15
