Manual	Chip	FamilyUsersGuide	VccPgmMin	VccPgmMax	fFtgMin	fFtgMax	tWord	tBlock0	tBlockI	tBlockN	tMassErase	tSegErase	fTck2_2V	fTck3V	fSbw	fSbwEn	fSbwRet
SLAS701B	MSP430AFE253	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819		10	20	1	15
SLAS722G	MSP430G2112	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5		20	1	15
SLAS722G	MSP430G2152	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5		20	1	15
SLAS722G	MSP430G2212	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5		20	1	15
SLAS722G	MSP430G2252	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5		20	1	15
SLAS722G	MSP430G2312	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5		20	1	15
SLAS722G	MSP430G2352	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5		20	1	15
SLAS722G	MSP430G2412	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5		20	1	15
SLAS722G	MSP430G2452	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5		20	1	15
SLAS723H	MSP430G2102	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5		20	1	15
SLAS723H	MSP430G2132	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5		20	1	15
SLAS723H	MSP430G2202	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5		20	1	15
SLAS723H	MSP430G2232	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5		20	1	15
SLAS723H	MSP430G2302	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5		20	1	15
SLAS723H	MSP430G2332	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5		20	1	15
SLAS723H	MSP430G2402	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5		20	1	15
SLAS723H	MSP430G2432	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5		20	1	15
SLAS734G	MSP430G2203	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5		20	1	15
SLAS734G	MSP430G2233	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5		20	1	15
